S1	R1	0.001	6597103971274460346
S1	R2	0.001	7386862472818278521
S1	R3	0.001	12716877617435052285
S1	R4	0.001	10325298820568433954
S1	R5	0.001	10596756003076376996
S2	R1	0.00183298	3831213995552687045
S2	R2	0.00183298	528733477622103608
S2	R3	0.00183298	12708413529556200236
S2	R4	0.00183298	8657856827947486933
S2	R5	0.00183298	3821290918431110937
S3	R1	0.00335982	72537253520858766
S3	R2	0.00335982	240355753641590888
S3	R3	0.00335982	7755424849284035009
S3	R4	0.00335982	11366725980638043916
S3	R5	0.00335982	16507688965864825162
S4	R1	0.00615848	7574898218406462836
S4	R2	0.00615848	4810334079515377771
S4	R3	0.00615848	493061895501060772
S4	R4	0.00615848	1991185758969581491
S4	R5	0.00615848	6764125549114849326
S5	R1	0.0112884	71698162575291127
S5	R2	0.0112884	17341644007929035161
S5	R3	0.0112884	12751789696765441019
S5	R4	0.0112884	16946388496207019561
S5	R5	0.0112884	7742695497455285114
S6	R1	0.0206914	14832944048723697332
S6	R2	0.0206914	11042791388705712586
S6	R3	0.0206914	63596454888201062
S6	R4	0.0206914	9007874285045622548
S6	R5	0.0206914	16273803206694849211
S7	R1	0.0379269	17234094390244760402
S7	R2	0.0379269	18182704779440803993
S7	R3	0.0379269	7955854823845330401
S7	R4	0.0379269	2361409322885954759
S7	R5	0.0379269	16051379310345671190
S8	R1	0.0695193	14232480819061502944
S8	R2	0.0695193	12916000539428870902
S8	R3	0.0695193	11883816868923882161
S8	R4	0.0695193	11727421742563578585
S8	R5	0.0695193	18406576565766401758
S9	R1	0.127427	7778726955320718972
S9	R2	0.127427	2230382437229002672
S9	R3	0.127427	2140499702043247407
S9	R4	0.127427	7833052409962450281
S9	R5	0.127427	3172395675924411124
S10	R1	0.233572	1894761437633404121
S10	R2	0.233572	4413285022036999407
S10	R3	0.233572	18000541904734981116
S10	R4	0.233572	6424555984731600951
S10	R5	0.233572	12029070291049707422
S11	R1	0.428133	9785607710477086420
S11	R2	0.428133	6643670159662971748
S11	R3	0.428133	16200951505676794559
S11	R4	0.428133	1503490545508105186
S11	R5	0.428133	9140519086864281483
S12	R1	0.78476	6323007072816768996
S12	R2	0.78476	8719202771556150259
S12	R3	0.78476	12840895363354266958
S12	R4	0.78476	1369144709899266539
S12	R5	0.78476	7516733046064694841
S13	R1	1.43845	3629610296210175530
S13	R2	1.43845	12213264137914677858
S13	R3	1.43845	16180540816890812919
S13	R4	1.43845	3582968305762065378
S13	R5	1.43845	3687236847584637321
S14	R1	2.63665	9052010193043012415
S14	R2	2.63665	17322569821028308559
S14	R3	2.63665	7583694725176218544
S14	R4	2.63665	14766550720688222863
S14	R5	2.63665	3156499280804235707
S15	R1	4.83293	8599576300849921522
S15	R2	4.83293	17306868767345741186
S15	R3	4.83293	7423255633441974384
S15	R4	4.83293	18154199045933385221
S15	R5	4.83293	2592775591666984279
S16	R1	8.85867	8113922234914940588
S16	R2	8.85867	16519807639916298997
S16	R3	8.85867	12470436458305667529
S16	R4	8.85867	17830691862662626970
S16	R5	8.85867	7597742187944570283
S17	R1	16.2378	4107943174475501103
S17	R2	16.2378	13427839460518666402
S17	R3	16.2378	9275147017845818890
S17	R4	16.2378	906369299619319622
S17	R5	16.2378	6796168306645456955
S18	R1	29.7635	6640476646189399451
S18	R2	29.7635	13623453160266839925
S18	R3	29.7635	17039068169406698618
S18	R4	29.7635	182595581528460968
S18	R5	29.7635	2819849414862717027
S19	R1	54.5559	16308255654144990873
S19	R2	54.5559	2341048888895024199
S19	R3	54.5559	4451394635837577718
S19	R4	54.5559	8167834848992134087
S19	R5	54.5559	15931827513985840001
S20	R1	100	15506829802507196421
